"國語注音符號第一式","威妥瑪拼音","國語注音符號第二式","耶魯拼音","法國遠東學院拼音","德國式拼音","華語通用拼音","漢語拼音方案","國語羅馬字:第一聲","第二聲","第三聲","第四聲"
"ㄉㄨㄟ","tui","duei","dwei","touei","dui","duei","dui","duei","dwei","doei","duey"
"ㄊㄨㄟ","t'ui","tuei","twei","t'ouei","tui","tuei","tui","tuei","twei","toei","tuey"
"ㄉㄨㄣ","tun","duen","dwen","touen","dun","dun","dun","duen","dwen","doen","duenn"
"ㄊㄨㄣ","t'un","tuen","twen","t'ouen","tun","tun","tun","tuen","twen","toen","tuenn"
"ㄉㄨㄥ","tung","dung","dung","tong","dung","dong","dong","dong","dorng","doong","donq"
"ㄊㄨㄥ","t'ung","tung","tung","t'ong","tung","tong","tong","tong","torng","toong","tonq"
"ㄗ","tzu","tz","dz","tseu","dsï","zih","zi","tzy","tzyr","tzyy","tzyh"
"ㄘ","tz'u","tsz","tsz","ts'eu","tsï","cih","ci","tsy","tsyr","tsyy","tsyh"
"ㄨㄚ","wa","wa","wa","wa","wa","wa","wa","ua","wa","waa","wah"
"ㄨㄞ","wai","wai","wai","wai","wai","wai","wai","uai","wai","woai","way"
"ㄨㄢ","wan","wan","wan","wan","wan","wan","wan","uan","wan","woan","wann"
"ㄨㄤ","wang","wang","wang","wang","wang","wang","wang","uang","wang","woang","wanq"
"ㄨㄟ","wei","wei","wei","wei","we","wei","wei","uei","wei","woei","wey"
"ㄨㄣ","wên","wen","wen","wen","wën","wun","wen","uen","wen","woen","wenn"
"ㄨㄥ","wêng","weng","weng","weng","wëng","wong","weng","ueng","weng","woeng","wenq"
"ㄨㄛ","wo","wo","wo","wo","wo","wo","wo","uo","wo","woo","woh"
"ㄨ","wu","wu","wu","wou","wu","wu","wu","u","wu","wuu","wuh"
"ㄧㄚ","ya","ya","ya","ya","ya","ya","ya","ia","ya","yea","yah"
"ㄧㄢ","yen","yan","yan","yen","yän","yan","yan","ian","yan","yean","yann"
"ㄧㄤ","yang","yang","yang","yang","yang","yang","yang","iang","yang","yeang","yanq"
"ㄧㄠ","yao","yau","yau","yao","yau","yao","yao","iau","yau","yeau","yaw"
"ㄧㄝ","yeh","ye","ye","ye","yä","ye","ye","ie","ye","yee","yeh"
"ㄧㄣ","yin","yin","yin","yin","yin","yin","yin","in","yn","yiin","yinn"
"ㄧㄥ","ying","ying","ying","ying","ying","ying","ying","ing","yng","yiing","yinq"
"ㄧㄡ","yu","you","you","yeou","yu","you","you","iou","you","yeou","yow"
"ㄩㄥ","yung","yung","yung","yong","yung","yong","yong","iong","yong","yeong","yonq"
"ㄩ","yü","yu","yu","yu","yü","yu","yu","iu","yu","yeu","yuh"
"ㄩㄢ","yüan","yuan","ywan","yuan","yüan","yuan","yuan","iuan","yuan","yeuan","yuann"
"ㄩㄝ","yüeh","yue","ywe","yue","yüä","yue","yue","iue","yue","yeue","yueh"
"ㄩㄣ","yün","yun","yun","yun","yün","yun","yun","iun","yun","yeun","yunn"
