"國語注音符號第一式","威妥瑪拼音","國語注音符號第二式","耶魯拼音","法國遠東學院拼音","德國式拼音","華語通用拼音","漢語拼音方案","國語羅馬字:第一聲","第二聲","第三聲","第四聲"
"ㄎㄨㄤ","k'uang","kuang","kwang","k'ouang","kuang","kuang","kuang","kuang","kwang","koang","kuanq"
"ㄍㄨㄟ","kuei","guei","gwei","kouei","gui","guei","gui","guei","gwei","goei","guey"
"ㄎㄨㄟ","k'uei","kuei","kwei","k'ouei","kue","kuei","kui","kuei","kwei","koei","kuey"
"ㄍㄨㄣ","kun","guen","gwun","kouen","gun","gun","gun","guen","gwen","goen","guenn"
"ㄎㄨㄣ","k'un","kuen","kwen","k'ouen","kun","kun","kun","kuen","kwen","koen","kuenn"
"ㄍㄨㄥ","kung","gung","gung","kong","gung","gong","gong","gong","gorng","goong","gonq"
"ㄎㄨㄥ","k'ung","kung","kung","k'ong","kung","kong","kong","kong","korng","koong","konq"
"ㄍㄨㄛ","kuo","guo","gwo","kouo","guo","guo","guo","guo","gwo","guoo","guoh"
"ㄎㄨㄛ","k'uo","kuo","kwo","k'ouo","kuo","kuo","kuo","kuo","kwo","kuoo","kuoh"
"ㄌㄚ","la","la","la","la","la","la","la","lha","la","laa","lah"
"ㄌㄞ","lai","lai","lai","lai","lai","lai","lai","lhai","lai","lae","lay"
"ㄌㄢ","lan","lan","lan","lan","lan","lan","lan","lhan","lan","laan","lann"
"ㄌㄤ","lang","lang","lang","lang","lang","lang","lang","lhang","lang","laang","lanq"
"ㄌㄠ","lao","lau","lau","lao","lau","lao","lao","lhau","lau","lao","law"
"ㄌㄜ","lê","le","le","lö","lö","le","le","lhe","le","lee","leh"
"ㄌㄟ","lei","lei","lei","lei","le","lei","lei","lhei","lei","leei","ley"
"ㄌㄥ","lêng","leng","leng","leng","lëng","leng","leng","lheng","leng","leeng","lenq"
"ㄌㄧ","li","li","li","li","li","li","li","lhi","li","lii","lih"
"ㄌㄧㄚ","lia","lia","lya","lea","lia","lia","lia","lhia","lia","lea","liah"
"ㄌㄧㄤ","liang","liang","lyang","leang","liang","liang","liang","lhiang","liang","leang","lianq"
"ㄌㄧㄠ","liao","liau","lyau","liao","liau","liao","liao","lhiau","liau","leau","liaw"
"ㄌㄧㄝ","lieh","lie","lye","lie","liä","lie","lie","lhie","lie","liee","lieh"
"ㄌㄧㄢ","lien","lian","lyan","lien","liän","lian","lian","lhian","lian","lean","liann"
"ㄌㄧㄣ","lin","lin","lin","lin","lin","lin","lin","lhin","lin","liin","linn"
"ㄌㄧㄥ","ling","ling","ling","ling","ling","ling","ling","lhing","ling","liing","linq"
"ㄌㄧㄡ","liu","liou","lyou","lieou","liou","liou","liu","lhiou","liou","leou","liow"
"ㄌㄛ","lo","lo","lo","lo","lo","lo","lo","lo","lor","loo","loh"
"ㄌㄨㄛ","lo","luo","lwo","louo","lo","luo","luo","lhuo","luo","luoo","luoh"
"ㄌㄡ","lou","lou","lou","leou","lou","lou","lou","lhou","lou","loou","low"
"ㄌㄨ","lu","lu","lu","lou","lu","lu","lu","lhu","lu","luu","luh"
"ㄌㄨㄢ","luan","luan","lwan","louan","luan","luan","luan","lhuan","luan","loan","luann"
"ㄌㄨㄣ","lun","luen","lwun","loun","lun","lun","lun","lhuen","luen","loen","luenn"
"ㄌㄨㄥ","lung","lung","lung","long","lung","long","long","lhong","long","loong","lonq"
"ㄌㄩ","lü","liu","lyu","liu","lü","lyu","lü","lhiu","liu","leu","liuh"
"ㄌㄩㄝ","lüeh","liue","lywe","liue","lüä","lyue","lüe","lhiue","liue","leue","liueh"
"ㄌㄩㄢ","lüan","liuan","lyuan","liuan","lüän","lyuan","lüan","lhiuan","liuan","leuan","liuann"
"ㄌㄩㄣ","lün","liun","lyun","liun","lün","lyun","lün","lhiun","liun","leun","liunn"
"ㄇㄚ","ma","ma","ma","ma","ma","ma","ma","mha","ma","maa","mah"
"ㄇㄞ","mai","mai","mai","mai","mai","mai","mai","mhai","mai","mae","may"
"ㄇㄢ","man","man","man","man","man","man","man","mhan","man","maan","mann"
"ㄇㄤ","mang","mang","mang","mang","mang","mang","mang","mhang","mang","maang","manq"
"ㄇㄠ","mao","mau","mau","mao","mau","mao","mao","mhau","mau","mao","maw"
"ㄇㄜ","mê","me","me","mö","mö","me","me","mhe","me","mee","meh"
"ㄇㄟ","mei","mei","mei","mei","me","mei","mei","mhei","mei","meei","mey"
"ㄇㄣ","mên","men","men","men","mën","men","men","mhen","men","meen","menn"
"ㄇㄥ","mêng","meng","meng","meng","mëng","meng","meng","mheng","meng","meeng","menq"
"ㄇㄧ","mi","mi","mi","mi","mi","mi","mi","mhi","mi","mii","mih"
"ㄇㄧㄠ","miao","miau","myau","miao","miau","miao","miao","mhiau","miau","meau","miaw"
"ㄇㄧㄝ","mieh","mie","mye","mie","miä","mie","mie","mhie","mie","miee","mieh"
"ㄇㄧㄢ","mien","mian","myan","mian","miän","mian","mian","mhian","mian","mean","miann"
"ㄇㄧㄣ","min","min","min","min","min","min","min","mhin","min","miin","minn"
"ㄇㄧㄥ","ming","ming","ming","ming","ming","ming","ming","mhing","ming","miing","minq"
"ㄇㄧㄡ","miu","miou","myou","mieou","miu","miou","miu","mhiou","miou","meou","miow"
"ㄇㄛ","mo","mo","mwo","mo","mo","mo","mo","mho","mo","moo","moh"
"ㄇㄡ","mou","mou","mou","meou","mou","mou","mou","mhou","mou","moou","mow"
"ㄇㄨ","mu","mu","mu","mou","mu","mu","mu","mhu","mu","muu","muh"
"ㄋㄚ","na","na","na","na","na","na","na","nha","na","naa","nah"
"ㄋㄞ","nai","nai","nai","nai","nai","nai","nai","nhai","nai","nae","nay"
"ㄋㄢ","nan","nan","nan","nan","nan","nan","nan","nhan","nan","naan","nann"
"ㄋㄤ","nang","nang","nang","nang","nang","nang","nang","nhang","nang","naang","nanq"
"ㄋㄠ","nao","nau","nau","nao","nau","nao","nao","nhau","nau","nao","naw"
"ㄋㄜ","nê","ne","ne","nö","nö","ne","ne","nhe","ne","nee","neh"
"ㄋㄟ","nei","nei","nei","nei","ne","nei","nei","nhei","nei","neei","ney"
"ㄋㄣ","nên","nen","nen","nen","nën","nen","nen","nhen","nen","neen","nenn"
"ㄋㄥ","nêng","neng","neng","neng","nëng","neng","neng","nheng","neng","neeng","nenq"
"ㄋㄧ","ni","ni","ni","ni","ni","ni","ni","nhi","ni","nii","nih"
"ㄋㄧㄚ","nia","nia","nya","nia","nia","nia","nia","nia","niar","niaa","niah"
"ㄋㄧㄤ","niang","niang","nyang","niang","niang","niang","niang","nhiang","niang","neang","nianq"
"ㄋㄧㄠ","niao","niau","nyau","niao","niau","niao","niao","nhiau","niau","neau","niaw"
"ㄋㄧㄝ","nieh","nie","nye","nie","niä","nie","nie","nhie","nie","niee","nieh"
"ㄋㄧㄢ","nien","nian","nyan","nien","niän","nian","nian","nhian","nian","nean","niann"
"ㄋㄧㄣ","nin","nin","nin","nin","nin","nin","nin","nhin","nin","niin","ninn"
"ㄋㄧㄥ","ning","ning","ning","ning","ning","ning","ning","nhing","ning","niing","ninq"
"ㄋㄧㄡ","niu","niou","nyou","nieou","niu","niou","niu","nhiou","niou","neou","niow"
"ㄋㄨㄛ","no","nuo","nwo","no","no","nuo","nuo","nhuo","nuo","nuoo","nuoh"
"ㄋㄡ","nou","nou","nou","neou","nou","nou","nou","nhou","nou","noou","now"
"ㄋㄨ","nu","nu","nu","nou","nu","nu","nu","nhu","nu","nuu","nuh"
"ㄋㄨㄢ","nuan","nuan","nwan","nouan","nuan","nuan","nuan","nhuan","nuan","noan","nuann"
"ㄋㄨㄣ","nun","nuen","nwen","nouen","nun","nun","nun","nhuen","nuen","noen","nuenn"
"ㄋㄨㄥ","nung","nung","nung","nong","nung","nong","nong","nhong","nong","noong","nonq"
"ㄋㄩ","nü","niu","nyu","niu","nü","nyu","nü","nhiu","niu","neu","niuh"
"ㄋㄩㄝ","nüeh","niue","nywe","nio","nüä","nyue","nüe","nhiue","niue","neue","niueh"
"ㄛ","o","o","o","o","o","o","o","o","or","oo","oh"
"ㄡ","ou","ou","ou","ngeou","ou","ou","ou","ou","our","oou","ow"
"ㄅㄚ","pa","ba","ba","pa","ba","ba","ba","ba","bar","baa","bah"
"ㄆㄚ","p'a","pa","pa","p'a","pa","pa","pa","pa","par","paa","pah"
"ㄅㄞ","pai","bai","bai","pai","bai","bai","bai","bai","bair","bae","bay"
"ㄆㄞ","p'ai","pai","pai","p'ai","pai","pai","pai","pai","pair","pae","pay"
"ㄅㄢ","pan","ban","ban","pan","ban","ban","ban","ban","barn","baan","bann"
"ㄆㄢ","p'an","pan","pan","p'an","pan","pan","pan","pan","parn","paan","pann"
"ㄅㄤ","pang","bang","bang","pang","bang","bang","bang","bang","barng","baang","banq"
"ㄆㄤ","p'ang","pang","pang","p'ang","pang","pang","pang","pang","parng","paang","panq"
"ㄅㄠ","pao","bau","bau","pao","bau","bao","bao","bau","baur","bao","baw"
"ㄆㄠ","p'ao","pau","pau","p'ao","pau","pao","pao","pau","paur","pao","paw"
"ㄅㄟ","pei","bei","bei","pei","be","bei","bei","bei","beir","beei","bey"
"ㄆㄟ","p'ei","pei","pei","p'ei","pe","pei","pei","pei","peir","peei","pey"
"ㄅㄣ","pên","ben","ben","pen","bën","ben","ben","ben","bern","been","benn"
"ㄆㄣ","p'ên","pen","pen","p'en","pën","pen","pen","pen","pern","peen","penn"
"ㄅㄥ","pêng","beng","beng","peng","bëng","beng","beng","beng","berng","beeng","benq"
"ㄆㄥ","p'êng","peng","peng","p'eng","pëng","peng","peng","peng","perng","peeng","penq"
"ㄅㄧ","pi","bi","bi","pi","bi","bi","bi","bi","byi","bii","bih"
"ㄆㄧ","p'i","pi","pi","p'i","pi","pi","pi","pi","pyi","pii","pih"
"ㄅㄧㄠ","piao","biau","byau","piao","biau","biao","biao","biau","byau","beau","biaw"
"ㄆㄧㄠ","p'iao","piau","pyau","p'iao","piau","piao","piao","piau","pyau","peau","piaw"
"ㄅㄧㄝ","pieh","bie","bye","pie","biä","bie","bie","bie","bye","biee","bieh"
"ㄆㄧㄝ","p'ieh","pie","pye","p'ie","piä","pie","pie","pie","pye","piee","pieh"
"ㄅㄧㄢ","pien","bian","byan","pien","biän","bian","bian","bian","byan","bean","biann"
"ㄆㄧㄢ","p'ien","pian","pyan","p'ien","piän","pian","pian","pian","pyan","pean","piann"
"ㄅㄧㄣ","pin","bin","bin","pin","bin","bin","bin","bin","byn","biin","binn"
"ㄆㄧㄣ","p'in","pin","pin","p'in","pin","pin","pin","pin","pyn","piin","pinn"
"ㄅㄧㄥ","ping","bing","bing","ping","bing","bing","bing","bing","byng","biing","binq"
"ㄆㄧㄥ","p'ing","ping","ping","p'ing","ping","ping","ping","ping","pyng","piing","pinq"
"ㄅㄛ","po","bo","bwo","po","bo","bo","bo","bo","bor","boo","boh"
"ㄆㄛ","p'o","po","pwo","p'o","po","po","po","po","por","poo","poh"
"ㄆㄡ","p'ou","pou","pou","p'eou","pou","pou","pou","pou","pour","poou","pow"
"ㄅㄨ","pu","bu","bu","pou","bu","bu","bu","bu","bwu","buu","buh"
"ㄆㄨ","p'u","pu","pu","p'ou","pu","pu","pu","pu","pwu","puu","puh"
"ㄙㄚ","sa","sa","sa","sa","sa","sa","sa","sa","sar","saa","sah"
"ㄙㄞ","sai","sai","sai","sai","sai","sai","sai","sai","sair","sae","say"
"ㄙㄢ","san","san","san","san","san","san","san","san","sarn","saan","sann"
"ㄙㄤ","sang","sang","sang","sang","sang","sang","sang","sang","sarng","saang","sanq"
"ㄙㄠ","sao","sau","sau","sao","sau","sao","sao","sau","saur","sao","saw"
"ㄙㄜ","sê","se","se","sö","sö","se","se","se","ser","see","seh"
"ㄙㄣ","sên","sen","sen","sën","sën","sen","sen","sen","sern","seen","senn"
"ㄙㄥ","sêng","seng","seng","sëng","sëng","seng","seng","seng","serng","seeng","senq"
"ㄕㄚ","sha","sha","sha","cha","scha","sha","sha","sha","shar","shaa","shah"
"ㄕㄞ","shai","shai","shai","chai","schai","shai","shai","shai","shair","shae","shay"
"ㄕㄢ","shan","shan","shan","chan","schan","shan","shan","shan","sharn","shaan","shann"
"ㄕㄤ","shang","shang","shang","chang","schang","shang","shang","shang","sharng","shaang","shanq"
"ㄕㄠ","shao","shau","shau","chao","schau","shao","shao","shau","shaur","shao","shaw"
"ㄕㄜ","shê","she","she","chö","schö","she","she","she","sher","shee","sheh"
"ㄕㄟ","shei","shei","shei","chei","schei","shei","shei","shei","sheir","sheei","shey"
"ㄕㄣ","shên","shen","shen","chen","schën","shen","shen","shen","shern","sheen","shenn"
"ㄕㄥ","shêng","sheng","sheng","cheng","schëng","sheng","sheng","sheng","sherng","sheeng","shenq"
"ㄕ","shih","shr","shr","che","schï","shih","shi","shy","shyr","shyy","shyh"
"ㄕㄡ","shou","shou","shou","cheou","schou","shou","shou","shou","shour","shoou","show"
"ㄕㄨ","shu","shu","shu","chou","schu","shu","shu","shu","shwu","shuu","shuh"
"ㄕㄨㄚ","shua","shua","shwa","choua","schua","shua","shua","shua","shwa","shoa","shuah"
"ㄕㄨㄞ","shuai","shuai","shwai","chouai","schuai","shuai","shuai","shuai","shwai","shoai","shuay"
"ㄕㄨㄢ","shuan","shuan","shwan","chouan","schuan","shuan","shuan","shuan","shwan","shoan","shuann"
"ㄕㄨㄤ","shuang","shuang","shwang","chouang","schuang","shuang","shuang","shuang","shwang","shoang","shuanq"
"ㄕㄨㄟ","shui","shuei","shwei","chouei","schui","shuei","shui","shuei","shwei","shoei","shuey"
"ㄕㄨㄣ","shun","shuen","shwun","chouen","schun","shun","shun","shuen","shwen","shoen","shuenn"
"ㄕㄨㄛ","shuo","shuo","shwo","chouo","scho","shuo","shuo","shuo","shwo","shuoo","shuoh"
"ㄙㄨㄛ","so","suo","swo","so","so","suo","suo","suo","swo","suoo","suoh"
"ㄙㄡ","sou","sou","sou","seou","sou","sou","sou","sou","sour","soou","sow"
"ㄙ","ssu","sz","sz","sseu","sï","sih","si","sy","syr","syy","syh"
"ㄙㄨ","su","su","su","sou","su","su","su","su","swu","suu","suh"
"ㄙㄨㄢ","suan","suan","swan","souan","suan","suan","suan","suan","swan","soan","suann"
"ㄙㄨㄟ","sui","suei","swei","souei","sui","suei","sui","suei","swei","soei","suey"
"ㄙㄨㄣ","sun","suen","swen","souen","sun","sun","sun","suen","swen","soen","suenn"
"ㄙㄨㄥ","sung","sung","sung","song","sung","song","song","song","sorng","soong","sonq"
"ㄉㄚ","ta","da","da","ta","da","da","da","da","dar","daa","dah"
"ㄊㄚ","t'a","ta","ta","t'a","ta","ta","ta","ta","tar","taa","tah"
"ㄉㄞ","tai","dai","dai","tai","dai","dai","dai","dai","dair","dae","day"
"ㄊㄞ","t'ai","tai","tai","t'ai","tai","tai","tai","tai","tair","tae","tay"
"ㄉㄢ","tan","dan","dan","tan","dan","dan","dan","dan","darn","daan","dann"
"ㄊㄢ","t'an","tan","tan","t'an","tan","tan","tan","tan","tarn","taan","tann"
"ㄉㄤ","tang","dang","dang","tang","dang","dang","dang","dang","darng","daang","danq"
"ㄊㄤ","t'ang","tang","tang","t'ang","tang","tang","tang","tang","tarng","taang","tanq"
"ㄉㄠ","tao","dau","dau","tao","dau","dao","dao","dau","daur","dao","daw"
"ㄊㄠ","t'ao","tau","tau","t'ao","tau","tao","tao","tau","taur","tao","taw"
"ㄉㄜ","tê","de","de","tö","dö","de","de","de","der","dee","deh"
